output_csv_path,SENTENCE_NAME,SENTENCE,sentence_decoder,beam_size,top_k
EhYk6e-jtWg_0-3-rgb_front_W32_S32.csv,EhYk6e-jtWg_0-3-rgb_front,"Alright, the drink that we are about to make is a Claridge Cocktail.",this is a mock sentence,5,10
46Cwjrd4ua4_0-2-rgb_front_W32_S32.csv,46Cwjrd4ua4_0-2-rgb_front,"Now the next environmental factors that you want to look at are the date, and the year.",this is a mock sentence,5,10
1QmgK8f5JnY_0-1-rgb_front_W32_S32.csv,1QmgK8f5JnY_0-1-rgb_front,"Hello, my names Rebecca Herrick, I'm a licensed massage therapist in Wilmington, North Carolina and I'm here to give my review on Massage Parlors.",this is a mock sentence,5,10
4VXvnpxTEEw_0-1-rgb_front_W32_S32.csv,4VXvnpxTEEw_0-1-rgb_front,In this next clip we're going to talk about wind chill and wind chill factors.,this is a mock sentence,5,10
d_0dt3VdYCo_0-8-rgb_front_W32_S32.csv,d_0dt3VdYCo_0-8-rgb_front,"In tennis, a lot of times you're going to get shots that aren't standardized, that you're not really prepared for unless you play a lot.",this is a mock sentence,5,10
C9ordUxwOEQ_0-5-rgb_front_W32_S32.csv,C9ordUxwOEQ_0-5-rgb_front,This is a tire pressure gauge.,this is a mock sentence,5,10
eahjYz2685g_0-8-rgb_front_W32_S32.csv,eahjYz2685g_0-8-rgb_front,"Now another important thing for you to remember, and this is going to be a little difficult, because we all tend to like to please people, we all tend to like accolades and praise.",this is a mock sentence,5,10
Eh2AVkAQsxI_0-5-rgb_front_W32_S32.csv,Eh2AVkAQsxI_0-5-rgb_front,"Hi I'm Lauren, I'm going to be discussing how to add natural highlights at home.",this is a mock sentence,5,10
cYtd23-StEw_0-8-rgb_front_W32_S32.csv,cYtd23-StEw_0-8-rgb_front,Hi.,this is a mock sentence,5,10
d_V_K6ziiNA_0-8-rgb_front_W32_S32.csv,d_V_K6ziiNA_0-8-rgb_front,"Knots have a long and varied history throughout time, and today I'm going to show you how to make one of the great ones.",this is a mock sentence,5,10
